route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
ISLANDBOAT,ISLANDDASUBOAT,13ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDDASUBOAT,14ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDDASUBOAT,15ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDDASUBOAT,16ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDSUSUBOAT,17ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDFRSUBOAT,18ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDDAFABOAT,19ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDDAFABOAT,20ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDFRFABOAT,21ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDFRFABOAT,22ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDFRFABOAT,23ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDENDFABOAT,24ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDENDFABOAT,25ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDENDFABOAT,26ISLANDBOAT,Oak Bluffs, , , 
ISLANDBOAT,ISLANDDAFABOAT,27ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDDAFABOAT,28ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDFRFABOAT,29ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDFRFABOAT,30ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDFRFABOAT,31ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDENDFABOAT,32ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDENDFABOAT,33ISLANDBOAT,Falmouth, , , 
ISLANDBOAT,ISLANDENDFABOAT,34ISLANDBOAT,Falmouth, , , 
CUTTYBOAT,CUTTYDASUBOAT,1CUTTYBOAT,Cuttyhunk, , , 
CUTTYBOAT,CUTTYSUSUBOAT,2CUTTYBOAT,Cuttyhunk, , , 
CUTTYBOAT,CUTTYFRSUBOAT,3CUTTYBOAT,Cuttyhunk, , , 
CUTTYBOAT,CUTTYSASUBOAT,4CUTTYBOAT,Cuttyhunk, , , 
CUTTYBOAT,CUTTYWESASUBOAT,5CUTTYBOAT,New Bedford, , , 
CUTTYBOAT,CUTTYSUSUBOAT,6CUTTYBOAT,New Bedford, , , 
CUTTYBOAT,CUTTYSUSUBOAT,7CUTTYBOAT,New Bedford, , , 
CUTTYBOAT,CUTTYFRSUBOAT,8CUTTYBOAT,New Bedford, , , 
